,title,company_name,location,salary_avg,salary_min,salary_max
46,Institutional Credit Management - Lending Data Analyst - Vice...,Citi,United States,132315.0,105850.0,158780.0
47,"Team Lead, Data Analytics - EABI (Flexible/Remote)",COMMERCE BANK,"Kansas City, MO",,,
49,Data Analyst - Swisslog,Swisslog,United States,,,
50,2023 University Graduate (U.S.) - Information Management Data...,Bechtel,United States,,,
51,Internship:  Materials Management Data Analyst,Vanderlande Careers,United States,,,
52,Advisor Data Analyst,Fortuna BMC,United States,100550.0,77100.0,124000.0
53,Data Analyst,TTM Technologies - North America,United States,,,
54,Budget & Data Analyst I - Flexible/Hybrid,COMMERCE BANK,"Kansas City, MO",,,
56,"Data Analyst, Space Operations Data",Virgin Galactic,United States,,,
57,IT Data Analyst,Syneos Health - USA,United States,,,
58,Call Center Operations Data Analyst,Panasonic,"Leawood, KS",,,
59,IT Data Analyst Intern - PMO,COMMERCE BANK,"Kansas City, MO",,,
60,"Team Lead, Data Analytics - EABI (Flexible/Remote)",COMMERCE BANK,"Kansas City, MO",,,
62,Inventory Data Analyst,Altec Careers,"St Joseph, MO",,,
63,Data Analyst,At-Bay,United States (+1 other),,,
65,Business and Data Analyst,C.H. Robinson,"Kansas City, KS",,,
66,Lead Data Scientist: Game Analytics,Rockstar Games,United States,157500.0,129000.0,186000.0
67,: Data Analyst,Diverse Lynx,"Mountain View, AR",,,
68,Data Analyst/SQL Analyst,"First Tek, Inc.",United States,,,
70,Data Analyst - IT (Remote),Exelon Career Site New,United States,,,
71,Senior Data Analyst,Selby Jennings,United States,,,
73,Senior Data Analyst - Transportation Optimization,Walmart,"Bentonville, AR",,,
74,Senior Data Analyst,Quickbase,United States,,,
75,Data Analyst – ITD (Contractual),International Monetary Fund (IMF),United States (+1 other),,,
78,Senior Data Analyst,Harnham US,United States,,,
79,"Business Innovation Data Analyst, New York, United States",Resident Coordinator System,United States,,,
80,Data Analyst - Swisslog,Swisslog,United States,,,
82,DATA ANALYST,Harnham US,United States,,,
83,Senior Data Analyst,Harnham US,United States,,,
85,Data Analyst-eCommerce,Textron,"Wichita, KS",,,
86,Business/Data Analyst Senior | Remote,Amerihealth,United States,,,
87,Research Data Analyst (Marketing),Harnham,United States,70.0,60.0,80.0
88,"data analyst, Logistics Services","56,580 reviews",United States,,,
89,Data Analyst (Managed Services Consultant),"DeWolff, Boberg & Associates","Oklahoma City, OK",,,
91,Program Management Data Analyst,Citi,United States,91960.0,73570.0,110350.0
92,Data Engineering Analyst - Radiology,Bayer AG,United States,,,
93,"Senior Analyst, Sales Analytics",Harnham US,United States,,,
94,Cerner Corporation Careers – Data Analyst I,Cerner,"Kansas City, MO",,,
95,United Healthcare Careers – Data Analyst,United HealthCare,United States,,,
96,Senior Data Analyst,Aurora Solar,United States,,,
97,"Sr. Research Data Analyst, Center for Equity in Aging",Johns Hopkins University,United States,,,
98,Operational Analytics Data Analyst,Robinhood,United States,100000.0,80000.0,120000.0
99,Inventory Data Analyst,Altec Careers,"St Joseph, MO",,,
100,Lead Data Analyst,EDWARD JONES,"Spokane, MO",,,
101,Operational Analytics Data Analyst,Robinhood,United States,100000.0,80000.0,120000.0
102,Senior Data Analyst,Harnham,United States,130000.0,120000.0,140000.0
103,Lead Data Analyst,EDWARD JONES,"Lake Spring, MO",,,
104,"Credit Risk Data Analyst II - CECL- Chicago, Cincinnati, North...",Fifth Third Bank,United States,,,
106,"Data Analyst, Space Operations Data",Virgin Galactic,United States,,,
107,Lead Data Analyst,EDWARD JONES,"Fordland, MO",,,
108,Product Analyst,Harnham US,United States,,,
109,Lead Data Analyst,EDWARD JONES,"Holden, MO",,,
111,Lead Data Analyst,EDWARD JONES,"Linn, MO",,,
112,Lead Data Analyst,EDWARD JONES,"Jamestown, MO",,,
113,Lead Data Analyst,EDWARD JONES,"Vienna, MO",,,
114,Data Analyst,Insight Global,"Oklahoma City, OK",,,
115,Senior Business Data Analyst - Remote,UnitedHealth Group,United States,,,
116,Data Analyst (Market Research),Harnham,United States,70.0,60.0,80.0
117,Enrollment Data Analyst III (US),Elevance Health,United States,,,
118,Senior Data Analyst,Harnham,United States,130000.0,120000.0,140000.0
119,Data Analyst - Swisslog,Swisslog,United States,,,
120,Senior Data Analyst,Pantheon,United States,,,
121,Senior Data Analyst - Cox Communities,The Lancet,"Oklahoma City, OK",,,
122,"Data Analyst - CropSights, a Precision Ag Platform (Remote - Must...",Wilbur Ellis Company,United States,,,
125,Sr. Data Analyst (Python or R) with Sign On bonus,Leidos Inc,United States,,,
126,Research Data Analyst (Marketing),Harnham,United States,70.0,60.0,80.0
127,Business Data Analyst,"2,395 reviews",United States,,,
128,Sr. Data Analyst- Customer Data Platform (hybrid),Konica Minolta Business Solutions,United States,,,
129,Data Analyst (Intern),MTAB Technology Center  P Ltd,United States,,,
130,Associate Data Scientist: Web,Rockstar Games,United States,87307.5,54615.0,120000.0
131,"Data Analyst-BI Developer, Mid Level",CRB,"Kansas City, MO",,,
132,Data Analyst - Swisslog,Swisslog,United States,,,
133,Strategic Data Analyst I - Account Management & Sales,HMSA,United States,,,
135,Data Analyst (Remote),ID.me,United States,,,
136,Senior Data Analyst,Harnham US,United States,,,
137,"Sr. Data Analyst, Solution Support",Cohere Health,United States,,,
138,Data Analyst,TEKsystems,"Overland Park, KS",,,
139,Senior Data Analyst Manager,Tyson Foods,"Springdale, AR",,,
140,Lead Data Analyst,EDWARD JONES,"Crane, MO",,,
142,"Data Analyst-Medicine, Dr. Mylonakis",Houston Methodist,United States,,,
143,Sr Data Analyst,Honeywell,United States,,,
144,Data Analyst I,Oracle,"Jefferson City, MO",23.075,22.4,23.75
145,Data Analyst - Swisslog,Swisslog,United States,,,
146,Data Analyst III (Healthcare Analytics),Corporate,"Kansas City, MO",,,
147,Lead Data Analyst,EDWARD JONES,"New Bloomfield, MO",,,
148,Senior Data Analyst - Firm Analytics,EDWARD JONES,"Jefferson City, MO",,,
150,Data Analyst (Market Research),Harnham,United States,70.0,60.0,80.0
151,Data Analyst,Logic20/20 Inc.,"Overland Park, KS",,,
152,SSR I - Business Data Analyst,Altec Careers,"St Joseph, MO",,,
154,Senior Data Analyst,Aurora Solar,United States,111202.0,92404.0,130000.0
155,Mission Command Data Management Analyst,Northrop Grumman,"Leavenworth, KS",90000.0,80000.0,100000.0
156,"Data Analyst, Space Operations Data",Virgin Galactic,United States,,,
157,Data Analyst - Swisslog,Swisslog,United States,,,
158,Strategic Data Analyst I - Account Management & Sales,HMSA,United States,,,
159,Senior Data Analyst - Cox Communities,The Lancet,"Oklahoma City, OK",,,
161,Data Analyst (Hybrid & Remote Work Options),Shelter Insurance Companies,"Columbia, MO",,,
162,Data Analyst II,EDWARD JONES,"Mokane, MO",,,
163,BI Data Analyst,"Paramount Software Solutions, Inc",United States,,,
164,Program Specialist - Healthcare Data Analyst - Remote in...,UnitedHealth Group,United States,,,
165,Data Analyst II,EDWARD JONES,"Billings, MO",,,
166,Senior Data Analyst,Harnham,United States,130000.0,120000.0,140000.0
167,Data Analyst - Swisslog,Swisslog,United States,,,
168,Data Analyst - Swisslog,Swisslog,United States,,,
169,"Data Analyst, Office of Admissions Operations",Indiana University,United States,,,
171,Data Analyst,MNTN,United States,,,
172,Senior Data Analyst,Cotiviti,United States,,,
173,Senior Data Analyst (2-year contract),Estee Lauder,United States,,,
174,Senior Data Analyst Credit Services,First National Bank of Omaha,United States,,,
175,Data Manufacturing Analyst,Colgate-Palmolive Company,"Topeka, KS",,,
177,Data Analyst - Swisslog,Swisslog,United States,,,
178,Data Analyst,Federal Reserve System,"Kansas City, MO",,,
179,Data analyst - salesforce,Randstad Technologies,United States,,,
181,Data Analyst II/ III,Jobot,"Tulsa, OK",85000.0,70000.0,100000.0
182,Data Analyst,Koch Industries,"Wichita, KS",,,
183,Advisor Data Analyst,Fortuna BMC,United States,137000.0,122000.0,152000.0
184,Junior Data Analyst,SelectQuote Insurance Services,"Overland Park, KS",,,
185,Senior Data Analyst,TalentBoost (Point32Health),United States,,,
186,Associate SIMS Data Analyst,Southwest Airlines,United States,,,
187,Data Analyst (Market Research),Harnham,United States,70.0,60.0,80.0
188,Sr. Business Data Analyst,TalentBoost (Point32Health),United States,,,
189,Data Analyst - Swisslog,Swisslog,United States,,,
191,Senior Data Analyst Claims Editing/CXT Cloud Operations,Change Healthcare,"Tulsa, OK",,,
192,Senior Data Analyst Claims Editing/CXT Cloud Operations,Change Healthcare,"Oklahoma City, OK",,,
193,2023 Internship - Aftermarket Data Analyst,Textron,"Wichita, KS",,,
194,Senior Data Analyst Claims Editing/CXT Cloud Operations,Change Healthcare,"Kansas City, MO",,,
195,Data Analyst IV (Healthcare Analytics),Corporate,"Kansas City, MO",,,
196,Data Analyst II (Healthcare Analytics) Remote,Corporate,"Jefferson City, MO",,,
197,Workday Reporting/Data Analyst,Corporate,"Jefferson City, MO",,,
198,Data Analyst - Swisslog,Swisslog,United States,,,
199,"Senior Associate, Digital Data Analyst/Architect",New York Life Insurance Co,United States,,,
200,Internship:  Materials Management Data Analyst,Vanderlande Careers,United States,,,
201,Data analyst,Hire Resolve International,"Oklahoma City, OK",,,
204,Data analyst,Cuna Mutual,United States,,,
205,Data Analyst,ManTech International Corporation,United States,110500.0,88000.0,133000.0
206,Data Analyst IV,Corporate,"Columbia, MO",,,
207,Data Analyst,ManTech International Corporation,United States,110500.0,88000.0,133000.0
208,Senior Analyst,Harnham US,United States,,,
209,Business and Data Analyst,CH Robinson,"Kansas City, MO",90000.0,80000.0,100000.0
210,"Data Analyst Senior (SAS, Excel)",Mindlance,United States,85.5,82.0,89.0
211,Data Analyst (Market Research),Harnham,United States,70.0,60.0,80.0
212,"Clinical Data Analyst, Winston Salem",Atrium Health Wake Forest Baptist Medical Center,United States,,,
213,"Senior Data Analyst Lead, Corporate Vice President",New York Life,United States,,,
215,Lead Data Analyst,EDWARD JONES,"Warrensburg, MO",144481.5,106916.0,182047.0
217,Data Analyst - Swisslog,Swisslog,United States,,,
218,Lead-Data Analyst,EDWARD JONES,"Columbia, MO",144481.5,106916.0,182047.0
219,Marketing Data Analyst,ETC,United States,70000.0,65000.0,75000.0
220,IT Data Analyst Intern - PMO,COMMERCE BANK,"Kansas City, MO",,,
221,Lead Data Analyst,EDWARD JONES,"Rolla, MO",144481.5,106916.0,182047.0
222,Lead Data Analyst,EDWARD JONES,"Springfield, MO",144481.5,106916.0,182047.0
223,Mission Command Data Management Analyst Jobs,Northrop Grumman,"Leavenworth, KS",,,
224,Data Analyst,CodeForSouth.org,United States,,,
225,Data Analyst - 100% Remote,"PMO Partners, LLC","Dearing, KS",,,
226,Senior Data Analyst,HonorVet Technologies,"Dearing, KS",,,
227,"Data Analyst - CropSights, a Precision Ag Platform (Remote - Must...",Wilbur-Ellis Company,United States,,,
228,Data Analyst 2 - Remote - 2137867,United Health Group,United States,,,
229,Junior Data Analyst,Educated Solutions Corp,United States,25.5,25.0,26.0
230,Business Analyst (REMOTE),Metasys Technologies,"Dearing, KS",,,
231,Director of Financial Planning and Analysis,Mode,"Oklahoma City, OK",,,
232,"Sr. Data Analyst, Operations Data",Virgin Galactic,United States,,,
233,Business/Data Analyst,Insight Global 4.0★,"Oklahoma City, OK",,,
234,Problem Management Business Data Analyst Intern,CORPORATE,Missouri,,,
235,Data Analyst,Action For Children,United States,,,
236,Seismo-Acoustic Data Analyst - SkillBridge,Tasha Lott,United States,,,
237,Healthcare Data Analyst,Pediatrics Northwest,United States,25.0,,
238,Data Systems Analyst (2001) Jobs,SMX,United States,,,
239,Business Analytics Analyst,Citi,United States,79930.0,66740.0,93120.0
240,Transportation Data Analyst,Cargill,"Wichita, KS",,,
241,"Data Analyst, Specialist - I",Infosys,United States,,,
242,"Data Analyst, Specialist - I",Infosys,United States,,,
243,Sr Quantitative Analyst - Rec & Analytics,BGE OPCO,United States,,,
244,Sr Quantitative Analyst - Rec & Analytics,BGE OPCO,United States,,,
245,Fraud Analyst,SPECTRUM,"Kansas City, MO",,,
246,Data Analyst - Swisslog,Swisslog,United States,,,
247,Data Analyst - Swisslog,Swisslog,United States,,,
248,Data Analyst I - Intern,Corporate,"Kansas City, MO",,,
249,Data Analyst I - Intern,Corporate,"Jefferson City, MO",,,
250,Data Analyst III-Remote,Corporate,Missouri,,,
251,Data Analyst I - Intern,Corporate,"Kansas City, MO",,,
252,Problem Management Business Data Analyst Intern,Corporate,"Columbia, MO",,,
253,Workday Reporting Data Analyst,Corporate,"Jefferson City, MO",,,
254,Data Analyst II,EDWARD JONES,"New Bloomfield, MO",,,
255,Data Analyst II,Edward Jones,"Warrensburg, MO",103781.0,76798.0,130764.0
256,Lead-Data Analyst,Edward Jones,"Eugene, MO",144481.5,106916.0,182047.0
257,Data Management Business Analyst,Cohere Health,United States,,,
258,Data Management Data Analyst,Cohere Health,United States,,,
259,Data Management Business Analyst,Cohere Health,United States,,,
260,Commercial & Sales Data Analyst,Ashfield Engage,United States,,,
261,Commercial & Sales Data Analyst,Ashfield Engage,United States,,,
262,Senior Data Analyst - Cox Communities,Cox Enterprises,United States (+25 others),,,
263,Senior Data Analyst - Cox Communities,Cox Enterprises,United States (+25 others),,,
264,Lead Business / Data Analyst,"Perficient, Inc",United States,,,
265,Lead Business / Data Analyst,"Perficient, Inc",United States,,,
266,Sr. Data Analyst - Direct Hire - Northern Virginia,Vaco Technology,"Dearing, KS",110000.0,,
267,Sr. Data Analyst - Direct Hire - Northern Virginia,Vaco Technology,"Dearing, KS",110000.0,,
268,Data Engineer (Hybrid),Captivation Software,United States,217500.0,175000.0,260000.0
269,Data Engineer (Hybrid),Captivation Software,United States,217500.0,175000.0,260000.0
270,Senior Data Analyst - Cox Communities,Cox Communications Inc,"Springdale, AR",,,
271,Senior Data Analyst - Cox Communities,Cox Communications Inc,"Wichita, KS",,,
272,Data Ware House Analyst,"Acadia Technologies, Inc.",United States,70000.0,60000.0,80000.0
273,Data Ware House Analyst,"Acadia Technologies, Inc.",United States,70000.0,60000.0,80000.0
274,Business Analyst/Healthcare Data Analyst,Alaka`ina Foundation Family of Companies 3.6★,United States,,,
275,Business Analyst/Healthcare Data Analyst,Alaka`ina Foundation Family of Companies 3.6★,United States,,,
281,Research Data Analyst,Princeton University,United States,,,
282,Data Analyst - Surface Equipment,Halliburton,"Duncan, OK",,,
284,Data Analyst,Robert Half US,United States,,,
285,"Senior Data Scientist, Pricing",SoFi,United States,157500.0,129000.0,186000.0
286,Business Data Analyst - II,Eteam,"Tulsa, OK",,,
288,"Data Quality Analyst - Experian Health - Strong SQL experience, QA...",Experian,United States,,,
289,Sales Data Analyst,Salon Service Group,"Springfield, MO",,,
290,Safety Data Analyst & Technical Writer,BURNCO ROCK PRODUCTS Ltd,"Dearing, KS",,,
291,Lead Data Analyst,EDWARD JONES,"Higbee, MO",,,
292,Senior Data Scientist - Analytics,Robinhood,United States,183000.0,146000.0,220000.0
293,Principal Data Analyst (Credit Bureau Reporting),Discover Financial Services,United States,,,
294,Data Analyst - Swisslog,Swisslog,United States,,,
295,Institutional Credit Management - Lending Data Analyst - Vice...,Citi,United States,,,
296,Data analyst - salesforce,Randstad Technologies,United States,,,
297,Data Analyst - Target Marketing at Microsoft - 18 Month Contract...,Inviso,United States,,,
298,Senior Data Analysis Engineer,The Lancet,"Tulsa, OK",,,
299,P30382 IT Business Analyst (Unfilled),"US Anesthesia Partners, Inc.",United States,,,
300,Lead Data Analyst. Job in Corder My Valley Jobs Today,EDWARD JONES,"Corder, MO",,,
301,Data Analyst I,Jobot,"Broken Arrow, OK",,,
302,Data Management Analyst (AHT),Northrop Grumman,"Leavenworth, KS",,,
303,Data Analyst II/ III,Jobot,"Tulsa, OK",,,
304,Senior Data Analyst,Harnham,United States,130000.0,120000.0,140000.0
305,Data Analyst (Market Research),Harnham,United States,70.0,60.0,80.0
306,VISN EHR Pharmacy Data Analyst,"Veterans Affairs, Veterans Health Administration",United States,,,
307,Data Analyst (Advanced Excel Knowledge a Plus),Multiple Locations,United States,,,
308,Business Analyst/Healthcare Data Analyst,Alakaina Foundation Family of Companies,United States,,,
309,Data Analyst - Swisslog,Swisslog,United States,,,
310,Marketing Data Analyst,ETC,United States,70000.0,65000.0,75000.0
315,Human Resources Data Analyst I,Cherokee Nation,"Tahlequah, OK",,,
316,Fulfillment Technology  Data Analyst,HelloFresh,United States,,,
317,Senior Data Analyst,GeoBlue,United States,,,
319,Data Analyst IV,Corporate,"Jefferson City, MO",,,
320,IT Data Analyst,Syneos Health - USA,United States,,,
321,Data Analyst II,Health & Human Services Comm,United States,,,
322,"Senior Data Analyst, Product Analytics",Harnham,United States,120000.0,115000.0,125000.0
323,Marketing Data Analyst,ETC,United States,70000.0,65000.0,75000.0
324,Senior Business Data Analyst,U.S. Bank,"Oklahoma City, OK",,,
325,Internship:  Materials Management Data Analyst,Vanderlande Careers,United States,,,
326,Data Analyst IV,Corporate,"Jefferson City, MO",,,
327,REMOTE Data Analyst- (financial services),Jobot,United States,,,
328,Budget & Data Analyst I - Flexible/Hybrid,COMMERCE BANK,"Kansas City, MO",,,
330,Business Data Analyst - III,Experis,"Dearing, KS",,,
332,Workday Reporting Data Analyst,Corporate,"Columbia, MO",,,
333,Data Analyst - Swisslog,Swisslog,United States,,,
334,"Data Analyst, Space Operations Data",Virgin Galactic,United States,,,
335,Data Analyst Community Data COVID-19,Sedgwick County,"Wichita, KS",21.01,,
337,Workday Reporting/Data Analyst,Corporate,"Columbia, MO",,,
339,Data Analyst II (Healthcare Analytics). Job in Columbia My Valley...,Corporate,"Columbia, MO",,,
340,Data Analyst I,NelNEt,"Oklahoma City, OK",,,
341,File Processing Manager - IT Data Analyst (On-Site or Remote),ERC,United States (+1 other),,,
342,VP of Analytics,Harnham US,United States,,,
344,Business Analyst/Healthcare Data Analyst,Alakaina Foundation Family of Companies,United States,,,
345,Data Analyst,Tata Consultancy Service Limited,"Bentonville, AR",,,
346,Senior Data Analyst,Cotiviti,United States,,,
347,Senior Data Analyst,GeoBlue,United States,,,
348,Senior Data Analyst,"FreeState Electric Cooperative, Inc.","Topeka, KS",,,
351,Data Analyst - Service Core,Houston Methodist,United States,,,
352,ASSOCIATE DATA ANALYST,United Nations,United States,,,
353,Data analyst - management analyst,Minnesota Department of Health,United States,,,
354,Data Analyst Co Op,Bayer,Missouri,,,
355,Senior Analyst- Supply Chain Performance & Analytics,Bayer AG,United States,,,
356,PPM Data Analyst - Remote,Mint Mobile,United States,,,
357,Data Analyst III,Corporate,"Jefferson City, MO",,,
358,SIU Data Analyst (Hybrid Work Options),Shelter Insurance Companies,"Columbia, MO",,,
359,Marketing Data Analyst,Aquent Talent,United States,40.5,38.0,43.0
360,Data Analyst II - Remote Available,Corporate,"Jefferson City, MO",,,
361,Data Analyst IV (Healthcare Analytics),Corporate,"Jefferson City, MO",,,
362,Pharmacy Benefit Management (Business Data Analyst 2),Oregon Health and Science University,United States,,,
363,Data Analyst II (Healthcare Analytics/UM/Appeals),Corporate,"Jefferson City, MO",,,
364,Senior Healthcare Data Analyst Expert,Elevance Health,"Jefferson City, MO",,,
365,Data Analyst II (Healthcare Analytics/UM/Appeals),Corporate,"Kansas City, MO",,,
366,"Senior Data Analyst, Marketing & Enrollment",Adtalem Global Education,United States,72940.495,51962.03,93918.96
367,Business Analyst III (Healthcare Analytics),Corporate,"Jefferson City, MO",,,
368,Senior Data Analyst - Patient Safety,Ascension,United States,,,
370,"Senior Data Analyst, Technology & Digital, FT, 8A-4:30P",Baptist Health South Florida,United States,,,
372,Data Analyst II,Corporate,"Jefferson City, MO",,,
373,Data Analyst,Jobot,"Tulsa, OK",85000.0,70000.0,100000.0
375,Data Analyst II,Corporate,"Jefferson City, MO",,,
376,Business Intelligence - Data Analyst / Senior Analyst,Medtronic,"Prague, OK",,,
377,Data Analyst III (Healthcare Analytics),Corporate,"Jefferson City, MO",,,
378,Trauma Research Data Analyst,SAINT FRANCIS HEALTH SYSTEM,"Tulsa, OK",,,
379,Marketing Data Analyst,Aquent,United States,40.5,38.0,43.0
380,Data Analyst II - Remote Available,Corporate,"Columbia, MO",,,
381,Data Analyst II - Remote Available,Corporate,"Kansas City, MO",,,
382,Data Analyst IV (Healthcare Analytics),Corporate,"Kansas City, MO",,,
383,Data Analyst III (Healthcare Analytics),Corporate,"Kansas City, MO",,,
384,Data Analyst III (Healthcare Analytics),Corporate,"Kansas City, MO",,,
385,TELUS International AI Inc.: Online Data Analyst,Contract,United States,,,
387,Sr Healthcare Economics Data Analyst - Remote,UnitedHealth Group,United States,,,
388,Data Analyst III - Risk Management,COMMERCE BANK,"Kansas City, MO",,,
389,Data Analyst,AMN HEALTHCARE,United States,26.875,24.5,29.25
390,Jr. Financial/Data Analyst,Eteam,United States,,,
391,Salesforce Data Analyst,Aquent,United States,30.0,,
392,IT Data Analyst Intern - PMO,COMMERCE BANK,"Kansas City, MO",,,
393,Internship:  Materials Management Data Analyst,Vanderlande Careers,United States,,,
394,Jr Data Analyst / Annotator -,Aquent,United States,25.0,24.0,26.0
395,Data Analyst/Scientist,HealthEdge Software Inc,"Topeka, KS",,,
396,Sr. Data Analyst - Remote,UnitedHealth Group,United States,,,
397,"Data Analyst, Product Strategy and Operations",TikTok,United States,,,
399,"Senior Data Analyst, Marketing Analytics",Environmental Defense Fund,United States,,,
400,Data Analyst,Take Two Interactive,United States,,,
401,Lead Data Analyst,EDWARD JONES,"Jamestown, MO",,,
402,Data Analyst,Ford Motor Company,"Topeka, KS",,,
403,"Senior Data Analyst, Clinical Analytics & Reporting - REMOTE",DaVita,"Casa, AR",,,
404,Data Analyst/Scientist,HealthEdge,"Oklahoma City, OK",,,
405,Senior Data Analyst - Digital Finance (Remote),HOME DEPOT EMPLOYMENT MANAGEMENT,United States,,,
406,data analyst,Randstad,"Bentonville, AR",,,
407,Accounting Data Analyst,Koch Industries,"Wichita, KS",,,
408,Business Data Analyst,Piney Technical Services,"Kansas City, MO",,,
410,Data Analyst II (Healthcare Analytics/UM/Appeals),Corporate,"Kansas City, MO",,,
411,Senior Data Analyst,Ryder,"Oklahoma City, OK",,,
412,Business Data Analyst,Piney Technical Services,"Kansas City, MO",,,
414,Data Analyst (Market Research),Harnham,United States,70.0,60.0,80.0
415,Salesforce Data Analyst,Aquent,United States,30.0,,
416,Senior Data Analyst,Harnham,United States,130000.0,120000.0,140000.0
417,"Team Lead, Data Analytics - EABI (Flexible/Remote)",COMMERCE BANK,"Kansas City, MO",,,
418,Business Analyst/Healthcare Data Analyst,Alakaina Foundation Family of Companies,United States,,,
419,Data Analyst III (Healthcare Analytics). Job in Columbia My Valley...,Corporate,"Columbia, MO",,,
421,Business Data Analyst,NetApp,United States,,,
422,Principal Data Analyst - Investigative Risk .,Walmart,"Bentonville, AR",90000.0,80000.0,100000.0
423,"Data Analyst - Orange, CT",K&A Engineering Consulting PC,United States,,,
424,Commercial & Sales Data Analyst,Ashfield Engage,United States,,,
425,Data Analyst *Remote*,Providence Health & Services,United States,,,
426,Data Analyst III - Risk Management,Commerce Bank,"Kansas City, MO",90000.0,80000.0,100000.0
427,Tax Data Analytics Specialist,OneSource Virtual,United States,,,
429,Data Analyst-Parts,Textron Aviation,"Wichita, KS",,,
430,Data Analyst-eCommerce,Textron Aviation,"Wichita, KS",,,
431,Data Analyst,Itero Group,United States,,,
432,Data Analyst,PERSUIT,United States,,,
434,Data Quality Analyst,Tatari,United States (+2 others),,,
435,Data Analyst,ICF,"Jefferson City, MO",,,
436,SIU Data Analyst (Hybrid Work Options),Shelter Insurance,"Columbia, MO",61353.0,49962.0,72744.0
437,Senior Data Analyst - Telecommute,UnitedHealth Group,United States,,,
438,Senior Data Analyst,Capgemini,United States,,,
439,Institutional Credit Management - Lending Data Analyst - Vice...,Citi,United States,132315.0,105850.0,158780.0
440,2023 Internship- Information Systems (Data Analyst),Textron Aviation,"Wichita, KS",,,
441,"Assistant HR Data Analyst-Corporate Human Resources  (Kansas City, MO)",Burns & McDonnell,"Kansas City, KS",,,
442,Data Analyst - UHC Finance - Remote,UnitedHealth Group,United States,,,
443,Principal Data Analyst - Remote / Telecommute,UnitedHealth Group,United States,,,
444,Sr. Business Data Analyst - Remote,UnitedHealth Group,United States,,,
445,Senior Financial Data Analyst - Remote,UnitedHealth Group,United States,,,
446,"Senior Data Analyst, Health Equity - Telecommute",UnitedHealth Group,United States,,,
447,"Data Analyst, IR",WSU Tech,"Bel Aire, KS",,,
448,Data Analyst,LHH,United States,,,
449,"Senior Data Analyst, Business Optimization",Cox,"Valley Brook, OK",,,
450,IT - Data Analyst I,WeStreet Credit Union,"Tulsa, OK",,,
451,Senior Contract Data Analyst,Sodexo,United States,,,
453,Product - Data Analyst,Allstate Insurance Company,United States,,,
455,Data Analyst,Randstad Technologies,"Kansas City, MO",,,
456,Data Analyst,Aquent Talent,United States,73.025,69.18,76.87
